"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS3_48","PUBLISHED","2009","AFR","MRT","940","","","",""
"WHS3_48","PUBLISHED","2010","AFR","MRT","1994","","","",""
"WHS3_48","PUBLISHED","2011","AFR","MRT","2926","","","",""
"WHS3_48","PUBLISHED","2006","AMR","MEX","2514","","","",""
"WHS3_48","PUBLISHED","2007","AMR","MEX","2361","","","",""
"WHS3_48","PUBLISHED","2008","AMR","MEX","916","","","",""
"WHS3_48","PUBLISHED","2009","AMR","MEX","2703","","","",""
"WHS3_48","PUBLISHED","2010","AMR","MEX","1226","","","",""
"WHS3_48","PUBLISHED","2011","AMR","MEX","1124","","","",""
"WHS3_48","PUBLISHED","2006","EMR","MAR","0","","","",""
"WHS3_48","PUBLISHED","2007","EMR","MAR","0","","","",""
"WHS3_48","PUBLISHED","2008","EMR","MAR","0","","","",""
"WHS3_48","PUBLISHED","2009","EMR","MAR","0","","","",""
"WHS3_48","PUBLISHED","2010","EMR","MAR","3","","","",""
"WHS3_48","PUBLISHED","2011","EMR","MAR","1","","","",""
"WHS3_48","PUBLISHED","2007","AFR","MOZ","141663","","","",""
"WHS3_48","PUBLISHED","2008","AFR","MOZ","120259","","","",""
"WHS3_48","PUBLISHED","2009","AFR","MOZ","93874","","","",""
"WHS3_48","PUBLISHED","2010","AFR","MOZ","1522577","","","",""
"WHS3_48","PUBLISHED","2011","AFR","MOZ","1756874","","","",""
"WHS3_48","PUBLISHED","2006","SEAR","MMR","203071","","","",""
"WHS3_48","PUBLISHED","2007","SEAR","MMR","373958","","","",""
"WHS3_48","PUBLISHED","2008","SEAR","MMR","447073","","","",""
"WHS3_48","PUBLISHED","2009","SEAR","MMR","436068","","","",""
"WHS3_48","PUBLISHED","2010","SEAR","MMR","420808","","","",""
"WHS3_48","PUBLISHED","2011","SEAR","MMR","465294","","","",""
"WHS3_48","PUBLISHED","2006","AFR","NAM","27690","","","",""
"WHS3_48","PUBLISHED","2007","AFR","NAM","4242","","","",""
"WHS3_48","PUBLISHED","2008","AFR","NAM","1092","","","",""
"WHS3_48","PUBLISHED","2009","AFR","NAM","505","","","",""
"WHS3_48","PUBLISHED","2010","AFR","NAM","556","","","",""
"WHS3_48","PUBLISHED","2011","AFR","NAM","1860","","","",""
"WHS3_48","PUBLISHED","2006","SEAR","NPL","4351","","","",""
"WHS3_48","PUBLISHED","2007","SEAR","NPL","4741","","","",""
"WHS3_48","PUBLISHED","2008","SEAR","NPL","3228","","","",""
"WHS3_48","PUBLISHED","2009","SEAR","NPL","2725","","","",""
"WHS3_48","PUBLISHED","2010","SEAR","NPL","2792","","","",""
"WHS3_48","PUBLISHED","2011","SEAR","NPL","2288","","","",""
"WHS3_48","PUBLISHED","2006","AMR","NIC","3114","","","",""
"WHS3_48","PUBLISHED","2007","AMR","NIC","1356","","","",""
"WHS3_48","PUBLISHED","2008","AMR","NIC","762","","","",""
"WHS3_48","PUBLISHED","2009","AMR","NIC","610","","","",""
"WHS3_48","PUBLISHED","2010","AMR","NIC","692","","","",""
"WHS3_48","PUBLISHED","2011","AMR","NIC","925","","","",""
"WHS3_48","PUBLISHED","2006","AFR","NER","3956","","","",""
"WHS3_48","PUBLISHED","2007","AFR","NER","249027","","","",""
"WHS3_48","PUBLISHED","2008","AFR","NER","496858","","","",""
"WHS3_48","PUBLISHED","2009","AFR","NER","309675","","","",""
